UserID,InstallationDate,InstallationTime,ChangeOutMeterNo,ChangeOutMeterkWh,InstalledMeterNo,InstalledEndpointSN,InstalledMeterkWh,ServiceLatitude,ServiceLongitude,ServiceLocation,ServiceTimeZone,TenantGroup
rompkoh,11/08/22,10:10,00AA00AD,,00AA00AD,11141293,,,,,,
rompkoh,11/08/22,10:10,400A2A08,,400A2A08,1074407944,,,,,,
rompkoh,11/08/22,10:10,00AA00D9,,00AA00D9,11141337,,,,,,
rompkoh,11/08/22,10:10,00AA00D7,,00AA00D7,11141335,,,,,,
rompkoh,11/08/22,10:10,00AA00DF,,00AA00DF,11141343,,,,,,
rompkoh,11/08/22,10:10,00AA024E,,00AA024E,11141710,,,,,,
rompkoh,11/08/22,10:10,00AA024C,,00AA024C,11141708,,,,,,
rompkoh,11/08/22,10:10,00AA01C4,,00AA01C4,11141572,,,,,,
rompkoh,11/08/22,10:10,00AA01C8,,00AA01C8,11141576,,,,,,
rompkoh,11/08/22,10:10,00AA01CA,,00AA01CA,11141578,,,,,,
rompkoh,11/08/22,10:10,00AA0244,,00AA0244,11141700,,,,,,
rompkoh,11/08/22,10:10,400A2A30,,400A2A30,1074407984,,,,,,
rompkoh,11/08/22,10:10,00AA023C,,00AA023C,11141692,,,,,,
rompkoh,11/08/22,10:10,00AA015E,,00AA015E,11141470,,,,,,
rompkoh,11/08/22,10:10,00AA0234,,00AA0234,11141684,,,,,,
rompkoh,11/08/22,10:10,00AA0216,,00AA0216,11141654,,,,,,
rompkoh,11/08/22,10:10,00AA0236,,00AA0236,11141686,,,,,,
rompkoh,11/08/22,10:10,00AA01BD,,00AA01BD,11141565,,,,,,
rompkoh,11/08/22,10:10,00AA01AD,,00AA01AD,11141549,,,,,,
rompkoh,11/08/22,10:10,00AA01D3,,00AA01D3,11141587,,,,,,
rompkoh,11/08/22,10:10,00AA01AB,,00AA01AB,11141547,,,,,,
rompkoh,11/08/22,10:10,00AA011B,,00AA011B,11141403,,,,,,
rompkoh,11/08/22,10:10,400A29D6,,400A29D6,1074407894,,,,,,
rompkoh,11/08/22,10:10,00AA01D7,,00AA01D7,11141591,,,,,,
rompkoh,11/08/22,10:10,400A29FC,,400A29FC,1074407932,,,,,,
rompkoh,11/08/22,10:10,400A29F8,,400A29F8,1074407928,,,,,,
rompkoh,11/08/22,10:10,400A2A10,,400A2A10,1074407952,,,,,,
